transportation_bureau,prefectures_name,route_name,rc_name,rc_kana,rc_address,lat,lng
近畿,兵庫,姫新線,前川,まえかわ,兵庫県姫路市土山四丁目648-3,0,0
近畿,兵庫,姫新線,宮の前（1）,みやのまえ,兵庫県姫路市土山四丁目545-2,34.832388,134.669186
近畿,兵庫,姫新線,宮の西,みやのにし,兵庫県姫路市土山六丁目744-2,34.833083,134.665659
近畿,兵庫,姫新線,綿所,わたしょ,兵庫県姫路市土山七丁目831-3,34.836685,134.665795
近畿,兵庫,姫新線,別所,べっしょ,兵庫県姫路市東今宿三丁目781-4,0,0
近畿,兵庫,姫新線,縄手の下,なわてのした,兵庫県姫路市西今宿一丁目626-6,34.841737,134.657287
近畿,兵庫,姫新線,手野,ての,兵庫県姫路市下手野字梅ヶ坪374-2,0,0
近畿,兵庫,姫新線,宮前,みやまえ,兵庫県姫路市下手野字内田355-3,0,0
近畿,兵庫,姫新線,内田,うちだ,兵庫県姫路市下手野字内田340-3,0,0
近畿,兵庫,姫新線,向畑,むこうはた,兵庫県姫路市下手野字向畑786-5,0,0
近畿,兵庫,姫新線,遠山,とおやま,兵庫県姫路市青山字南上野田111-7,0,0
近畿,兵庫,姫新線,取手,とりて,兵庫県姫路市飾西字下地垣内599-12,0,0
近畿,兵庫,姫新線,川原田,かわはらだ,兵庫県姫路市飾西字川原田439-8,0,0
近畿,兵庫,姫新線,中添,なかぞえ,兵庫県姫路市飾西字中添496-3,0,0
近畿,兵庫,姫新線,三反長,さんたんちょう,兵庫県姫路市飾西字三反長265-3,0,0
近畿,兵庫,姫新線,長の池,ながのいけ,兵庫県姫路市飾西字大平745-39,0,0
近畿,兵庫,姫新線,四十町,しじゅうまち,兵庫県姫路市飾西字長尾四十町577-3,0,0
近畿,兵庫,姫新線,相野,あいの,兵庫県姫路市飾西字高田317-6,0,0
近畿,兵庫,姫新線,西脇,にしわき,兵庫県姫路市西脇字構の内444-8,0,0
近畿,兵庫,姫新線,学校前,がっこうまえ,兵庫県姫路市西脇字構の内428-3,0,0
近畿,兵庫,姫新線,寺西,てらにし,兵庫県姫路市西脇字構の内522-5,0,0
近畿,兵庫,姫新線,三味,さんまい,兵庫県姫路市西脇字構の内607-2,0,0
近畿,兵庫,姫新線,新寺門,しんてらもん,兵庫県姫路市西脇字池の下810-1,0,0
近畿,兵庫,姫新線,丸山,まるやま,兵庫県姫路市西脇字鷹の子1582-9,0,0
近畿,兵庫,姫新線,林田川,はやしだがわ,兵庫県たつの市龍野町未政字向川原249-5,0,0
近畿,兵庫,姫新線,末政,すえまさ,兵庫県たつの市龍野町未政字藪下149-3,0,0
近畿,兵庫,姫新線,中村第一,なかむらだいいち,兵庫県たつの市龍野町中村字宮川232-4,0,0
近畿,兵庫,姫新線,中村第二,なかむらだいに,兵庫県たつの市龍野町中村字向田256-3,0,0
近畿,兵庫,姫新線,中村第三,なかむらだいさん,兵庫県たつの市龍野町中村字向田284-3,0,0
近畿,兵庫,姫新線,富永,とみなが,兵庫県たつの市龍野町日飼字柿本199-3,0,0
近畿,兵庫,姫新線,竜中前,たっちゅうまえ,兵庫県たつの市龍野町日飼字柿本206-3,0,0
近畿,兵庫,姫新線,片山,かたやま,兵庫県たつの市龍野町日飼字川の上81-5,0,0
近畿,兵庫,姫新線,片山第一,かたやまだいいち,兵庫県たつの市龍野町島田字下山根809-2,0,0
近畿,兵庫,姫新線,高田,たかだ,兵庫県たつの市龍野町島田字高田345-3,0,0
近畿,兵庫,姫新線,島田第三,しまだだいさん,兵庫県たつの市龍野町島田字宝満251-5,0,0
近畿,兵庫,姫新線,神岡,かみおか,兵庫県たつの市神岡町東觜崎字小那田541-4,34.881857,134.556395
近畿,兵庫,姫新線,佐用街道,さようかいどう,兵庫県たつの市神岡町字大住寺449-3,34.889988,134.558237
近畿,兵庫,姫新線,揖保川堤防,いぼがわていぼう,兵庫県たつの市新宮町觜崎字天満445-2,34.893933,134.553619
近畿,兵庫,姫新線,北村第二,きたむらだいに,兵庫県たつの市新宮町北村字車田71-2,34.897901,134.550644
近畿,兵庫,姫新線,河原,かわはら,兵庫県たつの市新宮町北村字車田122-3,34.899099,134.550357
